obs_index,rhat
1,1.0070754478440676
2,1.0065269918028619
3,1.0145151266449366
4,1.0108471198973177
5,1.0062408614090572
6,1.0131121668488738
7,1.0113891012819758
8,1.0121233666613623
9,1.0202203164809323
10,1.0398051625491354
11,1.0088838020495343
12,1.0158621942455575
13,1.0093370169869458
14,1.0047806236572328
15,1.0512893942123374
16,1.0292451441564634
17,1.0090414584277283
18,1.0445581013558063
19,1.031769280014117
20,1.0052458408606624
21,1.002643529586903
22,1.0191387975051076
23,1.0342652808715227
24,1.0170342012141145
25,1.001765786835536
26,1.0038586490568073
27,1.023686879455575
28,1.0075658214769623
29,1.0020177995696684
30,1.0063974462032534
31,1.0012861009948435
32,1.042124065798262
33,1.0172371362560588
34,1.0104682382693286
35,1.0079981984619109
36,1.005640600704643
37,1.0100322743234136
38,1.049385205230848
39,1.0153646756089043
40,1.003479754223782
41,1.0153288886668121
42,1.0330890823653607
43,1.0305984369036132
44,1.0011988911226197
45,1.0035464850021294
46,1.0343110389906789
47,1.0076011489431913
48,1.0063746622867678
49,1.0424898270240424
50,1.0078926064224751
51,1.024206457275097
52,1.005760358222094
53,1.0078227220323308
54,1.0016673258252855
55,1.0109800605263493
56,1.0028173804889429
57,1.023876394858478
58,1.0124770891080994
59,1.0202768146711234
60,1.0172371362560588
61,1.0065788289061692
62,1.0062408614090572
63,1.0191566205317788
64,1.0082332969660661
65,1.005160506397815
66,1.0013481288814232
67,1.0398173129053556
68,1.0206796346825664
69,1.0067337582828302
70,1.0038911171210234
71,1.0227450377195708
72,1.0031547051179064
73,1.003490068485062
74,1.0107368707115745
75,1.014819703975649
76,1.0097312893475139
77,1.007577296959627
78,1.0055685505693324
79,1.0162913921093661
80,1.0085203385087511
81,1.0129222420731314
82,1.022546226303979
83,1.0025619097793343
84,1.0143373408907597
85,1.0063746622867678
86,1.0098361311023247
87,1.0032506224364122
88,1.0044449539143883
89,1.0153288886668121
90,1.0134864811628768
91,1.004737216565179
92,1.0115126800857823
93,1.0087236883248296
94,1.0062778783197655
95,1.0036257609664985
96,1.0175138768007348
97,1.0082332969660661
98,1.0105906625784629
99,1.0076579813642261
100,1.0343110389906789
101,1.0367566970051614
102,1.0016673258252855
103,1.0105121907399348
104,1.0216026288349644
105,1.0041676061891442
106,1.0356644769182977
107,1.000823485374068
108,1.0021011163645455
109,1.0151968573356787
110,1.0014300293941523
111,1.04523347787926
112,1.0299436352157614
113,1.0114672837037035
114,1.0281327750422988
115,1.0083965026362742
116,1.0062778783197655
117,1.0101550169290707
118,1.0104320631915664
119,1.0039050038868675
120,1.0105893252212788
121,1.0353798406354748
122,1.0094946238029459
123,1.0021426730776102
124,1.0086713729805186
125,1.0086753458107163
126,1.0179827616530013
127,1.0095469726175796
128,1.0097563174478663
129,1.0057370703183288
130,1.0217462944235987
131,1.0065688463909535
132,1.0064118448045958
133,1.0129297801060972
134,1.0469620957307488
135,1.0067769223427052
136,1.0118025242943436
137,1.0100441907238749
138,1.009017705902547
139,1.0041950779555342
140,1.0056565341458057
141,1.0054583620022661
142,1.008944323610829
143,1.00201362364737
144,1.0045436263284113
145,1.0129346116326008
146,1.00931566725604
147,1.0217417454830482
148,1.012076075614769
149,1.0088838020495343
150,1.0077823209559145
151,1.007847542688259
152,1.006917723222734
153,1.0176476407184774
154,1.0172621089765623
155,1.0191387975051076
156,1.012485882097317
157,1.0442795349918443
158,1.021185066114323
159,1.0039741351494298
160,1.0087114677514684
161,1.0064118448045958
162,1.0190317463097367
163,1.0098034827760498
164,1.006024403986214
165,1.0097092472122995
166,1.0163781735380568
167,1.0309094355682846
168,1.0216447932471109
169,1.0113673177590643
170,1.0025473715761324
171,1.00375018258124
172,1.01629400828606
173,1.010071949491874
174,1.0145151266449366
175,1.0096022306152772
176,1.0448899225972523
177,1.005160506397815
178,1.0028173804889429
179,1.0279391511881326
180,1.0202491367938573
181,1.0107682302705656
182,1.0107368707115745
183,1.0117074842402805
184,1.0017261043113468
185,1.0127684823197667
186,1.0398173129053556
187,1.0106267858603595
188,1.002307570906872
189,1.020107779780377
190,1.026098409752713
191,1.0117525346933776
192,1.0398173129053556
193,1.0115126800857823
194,1.0063577157322061
195,1.005160506397815
196,1.0048834860493225
197,1.005056932600419
198,1.0106499109066216
199,1.0143373408907597
