bin,n,mean_pred,mean_obs
1,473,0.08774463966023374,0.06342494714587792
2,473,0.17414625778056722,0.08879492600422816
3,473,0.2428887114933397,0.22410147991543392
4,472,0.3103701223500765,0.2690677966101689
5,472,0.38023125923674267,0.3855932203389804
6,472,0.4551523527828598,0.4364406779661003
7,472,0.5336396881902878,0.586864406779658
8,472,0.6137487880237719,0.6525423728813555
9,472,0.6943771277744303,0.7521186440677969
10,472,0.7947508213602595,0.8347457627118656
