bin,n,mean_pred,mean_obs
1,473,0.08504426528979152,0.04439746300211414
2,473,0.1607163533758672,0.07822410147991568
3,473,0.22427079735293617,0.18393234672304384
4,472,0.2869491404141985,0.2605932203389813
5,472,0.3609421779851478,0.41525423728813365
6,472,0.4443443676111417,0.5211864406779668
7,472,0.534507215390683,0.48305084745762467
8,472,0.6236213357213424,0.6546610169491532
9,472,0.7228697788474955,0.7372881355932218
10,472,0.8416347623958831,0.9152542372881356
