bin,n,mean_pred,mean_obs
1,473,0.08806330159665016,0.06553911205074027
2,473,0.17564130244999557,0.09513742071881609
3,473,0.24325974331688263,0.21141649048625816
4,472,0.3107952377837588,0.2838983050847444
5,472,0.37979017037958246,0.38771186440677813
6,472,0.4537402971716303,0.43855932203389975
7,472,0.5319493621341815,0.5656779661016976
8,472,0.6130816021047675,0.6588983050847443
9,472,0.6952849812725787,0.7542372881355925
10,472,0.7956923053800421,0.8326271186440668
