obs_index,rhat
1,1.0796126166469666
2,1.0410008949424245
3,1.0773942863667956
4,1.0862551629600121
5,1.1087619148414682
6,1.153297506872215
7,1.069062115468882
8,1.0445370739825819
9,1.1539701992707754
10,1.1851037980620422
11,1.1119213508737362
12,1.0908525627970453
13,1.0542842118174514
14,1.0312190720298007
15,1.2248360497857644
16,1.0958842060811806
17,1.1133877499626708
18,1.1808222300453481
19,1.1074575322808071
20,1.157876321149357
21,1.052499613612635
22,1.122007371849474
23,1.1321670362507739
24,1.0991917300056095
25,1.046794313450917
26,1.0164698559507224
27,1.1655838802053455
28,1.1419030803988812
29,1.04510405631306
30,1.05807631373163
31,1.130805905967953
32,1.1056419376215743
33,1.1493582583758473
34,1.1125728125475474
35,1.1458578741492282
36,1.1483995671194371
37,1.0515632738414908
38,1.0724420280246845
39,1.1937795186184061
40,1.0529499561099085
41,1.1088396224362616
42,1.1609304138212766
43,1.1610225845146254
44,1.0617279035442573
45,1.0686806500342083
46,1.1325013429112847
47,1.0884859712544437
48,1.2397045912172635
49,1.1214757990296107
50,1.1602742518147429
51,1.2069622732328638
52,1.1561310619472782
53,1.1700804021596027
54,1.0643263885106966
55,1.1194519008429842
56,1.0526974986707547
57,1.0976906071070263
58,1.1809071794905932
59,1.306391615351943
60,1.1493582583758473
61,1.0369328256753354
62,1.1087619148414682
63,1.3433865931040185
64,1.0626050935469042
65,1.0574284811000307
66,1.0450530205598914
67,1.1571517440286867
68,1.0578856883769672
69,1.0521478786119969
70,1.0869150551137263
71,1.1279820553609041
72,1.0787375926313905
73,1.164569590221702
74,1.0812902855615472
75,1.055533802502303
76,1.139954162358599
77,1.0544870602176257
78,1.1455854663323293
79,1.1325296724775367
80,1.156362519713501
81,1.1356144271016937
82,1.1215642337287193
83,1.0646175319834332
84,1.0712357140813735
85,1.2397045912172635
86,1.0817266901428866
87,1.1071414624389313
88,1.07201099913633
89,1.1088396224362616
90,1.1404599790356746
91,1.082683491092478
92,1.0479335601860553
93,1.0629243824839292
94,1.156189326345456
95,1.0300742141265182
96,1.063443329650792
97,1.0626050935469042
98,1.1064606724383845
99,1.0664524810203246
100,1.1325013429112847
101,1.1318166338907898
102,1.0643263885106966
103,1.211378618977896
104,1.0852961439065518
105,1.1031416866456518
106,1.0980850324453673
107,1.0369634285126395
108,1.0330572244953415
109,1.1066029883259503
110,1.0351275344053732
111,1.0852498637428643
112,1.0779432066957333
113,1.0933360733860131
114,1.1965747242882716
115,1.1337543683999205
116,1.156189326345456
117,1.0728123634168563
118,1.1602706455433387
119,1.0405696484966194
120,1.0668512079341719
121,1.1447791657606299
122,1.061110319266736
123,1.0564985663803654
124,1.145212153887957
125,1.1184950126009705
126,1.399231112002767
127,1.068815716436416
128,1.0407975249922052
129,1.062595141263484
130,1.160898682201987
131,1.1225177811201688
132,1.1082305749565584
133,1.124008935279711
134,1.1407909968523975
135,1.0556023031056494
136,1.0624692849345978
137,1.1647695447348148
138,1.063100250945138
139,1.09390807701389
140,1.0921166030959297
141,1.1002927156036542
142,1.1156685921600298
143,1.1054820753585672
144,1.1868093003029347
145,1.267042989187448
146,1.1116972992834548
147,1.2447316960296297
148,1.041512389835025
149,1.1119213508737362
150,1.1661540989246082
151,1.131670930492589
152,1.1374333754030617
153,1.2168258669884575
154,1.104610619249303
155,1.122007371849474
156,1.279447726074179
157,1.0884021534100625
158,1.0879866216430596
159,1.0478533658202656
160,1.2937317743353458
161,1.1082305749565584
162,1.0681994860639852
163,1.2127926435669347
164,1.1773586822902824
165,1.0677946988284532
166,1.1064635695286638
167,1.1011193567529893
168,1.1039852895497877
169,1.0603817725655238
170,1.0665301138232623
171,1.2757929775698997
172,1.1023012368349945
173,1.1590076342660243
174,1.0773942863667956
175,1.1068626171082647
176,1.0817989943380435
177,1.0574284811000307
178,1.0526974986707547
179,1.188477265813341
180,1.2215777289777128
181,1.0697380454604848
182,1.0812902855615472
183,1.184795488645194
184,1.0526684927323493
185,1.1466856222578647
186,1.1571517440286867
187,1.1584455056086702
188,1.0440971476936884
189,1.138895462203695
190,1.1213151892558202
191,1.1163907000321234
192,1.1571517440286867
193,1.0479335601860553
194,1.2969130418761827
195,1.0574284811000307
196,1.2702030686693346
197,1.093737534841338
198,1.0914370623978982
199,1.0712357140813735
200,1.0670988369623178
201,1.0796994760395398
