bin,n,mean_pred,mean_obs
1,473,0.08694311355886793,0.05496828752642688
2,473,0.17131134685512575,0.1014799154334041
3,473,0.24240854761143432,0.21564482029598359
4,472,0.3068149212941903,0.2627118644067783
5,472,0.37621500778085265,0.3940677966101681
6,472,0.4510551413473897,0.4915254237288114
7,472,0.5376916889265841,0.5
8,472,0.621317422561288,0.6779661016949141
9,472,0.7013065238169587,0.747881355932203
10,472,0.7911938027170723,0.8474576271186445
