obs_index,rhat
1,1.1475420320367213
2,1.3022963596470918
3,1.3393234600898793
4,1.090550882923322
5,1.3244374339412865
6,1.2158286542464414
7,1.404625527913729
8,1.7230134253151974
9,1.5999491956388527
10,1.8791510692327058
11,1.0600189343100286
12,1.686758499077898
13,1.2091134086920292
14,1.1570709620517636
15,1.2579241041013876
16,1.4993010461146559
17,1.1469327735666175
18,1.641980853736576
19,1.4992720668006696
20,1.1100889717332156
21,1.084416913673557
22,1.331494287143632
23,1.5688090252859277
24,1.1277211275341645
25,1.227001341795086
26,1.335498054803445
27,1.135032814953831
28,1.2509894018144085
29,1.352589485590961
30,1.319169335545717
31,1.1797428184192538
32,1.3882156331716853
33,1.2541568248683101
34,1.1754741918648934
35,1.2835311052900036
36,1.3444810577132793
37,1.2294513869646964
38,1.0992030398265498
39,1.3265894474727942
40,1.0777373277422366
41,1.2926258406451538
42,1.462120747431264
43,1.505247169571003
44,1.1963677690281413
45,1.261353189166558
46,1.4345373113269129
47,1.2686576879281917
48,1.3506129610569424
49,1.2149432726392813
50,1.5206335189079179
51,1.7371084170659346
52,1.2238682690674445
53,1.3468586880191942
54,1.1991283624638067
55,1.1360532718588823
56,1.9346353888515055
57,1.262370979605549
58,1.157604864420836
59,1.3821195750436006
60,1.2541568248683101
61,1.148900808871201
62,1.3244374339412865
63,1.3673098818279066
64,1.778035692242185
65,1.2749612612083738
66,1.0576174968369112
67,1.2272565907296968
68,1.3000028384375382
69,1.3693795728030707
70,1.1504242575139194
71,1.126300618338126
72,1.1980234977505717
73,1.277207551502501
74,1.3476209056496316
75,1.2430135305215497
76,1.3601883419275127
77,1.1168263082220449
78,1.2823519885198122
79,1.29382622707039
80,1.2459066931959089
81,1.3432536536352957
82,1.3590741692548187
83,1.0502922268622445
84,1.1892513230626114
85,1.3506129610569424
86,1.1652270442196384
87,1.5369307768360225
88,1.2443697695367133
89,1.2926258406451538
90,1.5062427599415094
91,1.2292634574201904
92,1.1221706423883806
93,1.42961048236586
94,1.1379834522203474
95,1.1264802304963126
96,1.305464535463492
97,1.778035692242185
98,1.1912767555388641
99,1.0591342029293445
100,1.4345373113269129
101,1.2293308920278434
102,1.1991283624638067
103,1.5056304839237282
104,1.1676549082865761
105,1.3634976767341358
106,1.4473091437080514
107,1.2800266487320209
108,1.0556400323955464
109,1.2164158350237455
110,1.3378870002317804
111,1.2030713905022155
112,1.2235004483472267
113,1.2726674234732755
114,1.4097791056375804
115,1.2256580911245614
116,1.1379834522203474
117,1.246454806345596
118,1.184174366446481
119,1.3242626003002425
120,1.3185733320056419
121,1.2299782201680969
122,1.3317872275379525
123,1.0291722238222225
124,1.1161541108580109
125,1.2153273990165334
126,1.4053422504053854
127,1.2312984363090196
128,1.0550548021028276
129,1.0452804334614736
130,1.3699657316162808
131,1.1567949422092456
132,1.1967427762444147
133,1.1886455741883164
134,1.4900780169206822
135,1.2826290949949533
136,1.5860727675452369
137,1.1856396077754683
138,1.1307115631359717
139,1.320007771045236
140,1.0943433056628373
141,1.1434501744048542
142,1.0737076178987277
143,1.2695171428093315
144,1.1009890165637823
145,1.1813376082400322
146,1.1017102954236613
147,1.5103378653082553
148,1.3045939713279788
149,1.0600189343100286
150,1.423059351434304
151,1.1395637855273997
152,1.1540243491246842
153,1.7977688655611954
154,1.1534357916372582
155,1.331494287143632
156,1.259056297183899
157,1.368049074733511
158,1.1758517630306249
159,1.0945578010587962
160,1.4971639062783937
161,1.1967427762444147
162,1.1642229400496176
163,1.2864021900648066
164,1.1769087976457362
165,1.130413507030792
166,1.2584768558830108
167,1.4416811913886542
168,1.917446775156183
169,1.3082917254928752
170,1.0690584269731371
171,1.0826855456308857
172,1.7073806217812901
173,1.2459386973073758
174,1.3393234600898793
175,1.1527726530117994
176,1.4696432030158775
177,1.2749612612083738
178,1.9346353888515055
179,1.3518860702135846
180,1.3052043348055824
181,1.2255202816195176
182,1.3476209056496316
183,1.1918701037221529
184,1.0732916646064903
185,1.1804895537264322
186,1.2272565907296968
187,1.4864975810289813
188,1.098554240186225
189,1.2126350276080713
190,1.4534854876986196
191,1.2664727212763611
192,1.2272565907296968
193,1.1221706423883806
194,1.4058761978173473
195,1.2749612612083738
196,1.3995953223395166
197,1.2028815655412821
198,1.289675842835302
199,1.1892513230626114
200,1.3417785009026264
201,1.3406004896534665
202,1.130043724528767
203,1.418109580238152
204,1.378245044463391
205,1.3506129610569424
206,1.3566336142490634
207,1.1229450941208248
208,1.1567949422092456
209,1.2640731463405603
210,1.2441598073178455
211,1.153831144828233
212,1.1639037683491318
213,1.094392128980718
214,1.3796579326805902
215,1.2399162313213135
216,1.3389472424694557
217,1.4506224399491072
218,1.3463173774353885
219,1.3081500841803642
220,1.5148863173216367
221,1.5870023597712521
222,1.1583978603506062
223,1.1741500002834975
224,1.3973546624729014
225,1.4364962264493328
226,1.152979100218151
227,1.2541568248683101
228,1.3428640685755737
229,1.0474722256772497
230,1.3208442314309987
231,1.1604338312122573
232,1.57127178513774
233,1.3432536536352957
234,1.3111183349356768
235,1.2153273990165334
236,1.2164158350237455
237,1.2487258906304808
238,1.0581685943826367
239,1.081010424605513
240,1.126300618338126
241,1.4754230198488374
242,1.2948950028141695
243,1.2813455412046864
244,1.2278247176311086
245,1.2786694722227532
246,1.1527726530117994
247,1.2999326903344992
248,1.1542834462271678
249,1.3601883419275127
250,1.1202013248812974
251,1.4389702279049736
252,1.2790536136033466
253,1.1659445710246412
254,1.209695121947024
255,1.5594947063631701
256,1.1886458139282807
257,1.2120334580314251
258,1.1449860860254297
259,1.1856396077754683
260,1.3796579326805902
261,1.1202013248812974
262,1.4693675637692087
263,1.1271661094342065
264,1.3396913984216599
265,1.6777548479071005
266,1.292047670535012
267,1.4416811913886542
268,1.170023669925003
