bin,n,mean_pred,mean_obs
1,473,0.06413389926379333,0.025369978858351065
2,473,0.1375886813949482,0.04862579281183915
3,473,0.21483769938657254,0.13953488372093156
4,472,0.2889256388730079,0.24788135593220303
5,472,0.3626991222129553,0.35381355932203323
6,472,0.44720645331834585,0.49576271186440873
7,472,0.5462150503015247,0.5614406779661002
8,472,0.6499977853389786,0.6461864406779668
9,472,0.7395323952494739,0.8389830508474566
10,472,0.8399385780659635,0.9364406779661021
