"Exposure","Contrast","ATE (95% CI)"
"miss_bp_treated","1 vs. 0","0.0027 (-0.0121, 0.0175)"
"miss_smoker_current","1 vs. 0","0.0005 (-0.0027, 0.0036)"
"smoker_current1","1 vs. 0","0.0030 (-0.0149, 0.0209)"
"bp_treated1","1 vs. 0","0.0013 (-0.0090, 0.0115)"
"raceBlack","1 vs. 0","0.0008 (-0.0042, 0.0057)"
"raceWhite","1 vs. 0","0.0004 (-0.0042, 0.0051)"
"sbp","147.87 vs 109.17","0.0077 (-0.0011, 0.0164)"
"hdl_c","70.10 vs 37.35","-0.0820 (-0.0946, -0.0693)"
"tot_chol","232.55 vs 148.32","-0.0847 (-0.0942, -0.0753)"
