predictor,contrast,beta_x,beta_y,posterior_mean,posterior_median,ci_lower,ci_upper
sbp,153.666666666667 vs 106.333333333333,0,0,1.434141949899603,1.3998855071962693,1.0197123812170381,1.938140417302889
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,1.0857896484251448,1.0657819211181496,0.7612067857093658,1.5504845949471164
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,1.9204944676659763,1.8715234812488322,1.3364897488953658,2.693216124410182
smoker_current,1 vs 0,0,0,0.9742231467635941,0.9636633220243265,0.7511741079253427,1.2354500035539844
smoker_current,1 vs 0,0.5,0.5,0.8412169036013336,0.8312283279053558,0.6184037354550588,1.1097425817452737
smoker_current,1 vs 0,0.5,-0.5,1.143684164300831,1.133389877003716,0.8755299684308318,1.4763519706314954
