software,median_individual_rhat,proportion_below_1.10,proportion_below_1.20,maximum_individual_rhat,global_rhat,bulk_ess,tail_ess,brier_score,negative_log_probability,adequate_individual_diagnostics
BART,1.1751719500824338,0.16557272919754393,0.6059707812830828,1.717389267026356,1.0011868408882463,7861.309279957211,7936.191760291583,0.17443454636981226,0.5226505211212457,FALSE
dbarts::bart,1.017909225459126,1,1,1.0980184899279462,1.0003285200072434,7882.388448938146,7595.044120653087,0.17962987234225822,0.5360418410280883,TRUE
dbarts::bart2,1.282530811932174,0.05462629684522549,0.28816430235020113,2.1010469486446794,0.9999957159008821,7878.761332973048,7615.150880563777,0.15575271376894115,0.4760363511603515,FALSE
flexBART,1.1082305749565584,0.4395511327546051,0.8647046368833369,1.618171540314586,0.9999343079624127,8069.297639669681,7641.941106844909,0.17878272076626103,0.5336151105426888,FALSE
