obs_index,rhat
1,1.1002956493936866
2,1.0883327828696963
3,1.2647416495849289
4,1.2240332976882582
5,1.1776139616052597
6,1.1664739861824864
7,1.2493730177589228
8,1.1680290650635161
9,1.5417727001109112
10,1.461284683226504
11,1.122012090914243
12,1.2984200534708696
13,1.1941463019489125
14,1.0491628936611408
15,1.3754524582577048
16,1.4222513940915336
17,1.0776130920321032
18,1.1806987583905844
19,1.3907630035948708
20,1.144597582413553
21,1.0682982290445762
22,1.1177621909807605
23,1.119567621806727
24,1.3535193330488269
25,1.0639046565822792
26,1.0972411532363662
27,1.199354087062164
28,1.1775018359218459
29,1.1064484802062338
30,1.0949633338624114
31,1.1431818166482532
32,1.1095004676426172
33,1.1281814461505109
34,1.1302707001541616
35,1.1969409394315766
36,1.339926409636656
37,1.2213434133441092
38,1.1379479783307853
39,1.3815931991091643
40,1.0962064492526975
41,1.5071218894775813
42,1.3574624839954657
43,1.3579829970439086
44,1.1199506256413554
45,1.1180366459485414
46,1.3327475278076324
47,1.2203049543302245
48,1.4079294503487372
49,1.1628656675368083
50,1.6504644225926692
51,1.07375637966677
52,1.1284793731202867
53,1.2583860529378013
54,1.1794366195658537
55,1.182223241567953
56,1.109525697008741
57,1.1182162813620893
58,1.1311947973411212
59,1.1018021977786
60,1.1281814461505109
61,1.1372820416192
62,1.1776139616052597
63,1.2034757155802498
64,1.4393913762931216
65,1.089811021427849
66,1.0377525165335904
67,1.1038674229966656
68,1.1522634173813977
69,1.0934709251570773
70,1.1031480059154528
71,1.1721201486796053
72,1.1407583011448663
73,1.1586667061996792
74,1.2831059402568605
75,1.1958495244893923
76,1.0656791941880748
77,1.0782324759276072
78,1.0974583712381751
79,1.127537058823526
80,1.1439881255019615
81,1.1116505223711455
82,1.2245872120864871
83,1.0764059524257594
84,1.1585005559890962
85,1.4079294503487372
86,1.2003719075936596
87,1.4902384306299874
88,1.29644996948964
89,1.5071218894775813
90,1.1846411923160944
91,1.0498412000241248
92,1.1201733422007525
93,1.1386753592416707
94,1.085078184718268
95,1.0698616839034762
96,1.2252214088037918
97,1.4393913762931216
98,1.1686061022045502
99,1.0478801502565696
100,1.3327475278076324
101,1.3925118736983877
102,1.1794366195658537
103,1.2178011502388153
104,1.1527411560873566
105,1.1889061270909944
106,1.4528132224456523
107,1.193252619150207
108,1.125464097317658
109,1.0809246520444549
110,1.0806484981322106
111,1.2845728887166268
112,1.1125446076212477
113,1.224428769747884
114,1.0737873579210941
115,1.23709853505184
116,1.085078184718268
117,1.088116211946974
118,1.145224488104715
119,1.0984668424806858
120,1.1452542400226486
121,1.250908706316174
122,1.1767865191654232
123,1.0239886978999948
124,1.1851210589298984
125,1.1424565423492234
126,1.4740592920723177
127,1.2159821425559312
128,1.0844878232737842
129,1.0817632418340697
130,1.0656837214099066
131,1.1243525944662744
132,1.2041063873700026
133,1.3512677516639138
134,1.278879471392773
135,1.1741484816872179
136,1.1645399148535163
137,1.1143214452680132
138,1.1499528609861314
139,1.1552539431279032
140,1.1558536252517215
141,1.1764875849132876
142,1.1573517323509173
143,1.1995326341327293
144,1.1391531442253082
145,1.32529323297079
146,1.0537776944212542
147,1.262360124201657
148,1.2299388629923136
149,1.122012090914243
150,1.1974285532124391
151,1.1556351734953931
152,1.1076028406019243
153,1.31569840758179
154,1.0767471012395913
155,1.1177621909807605
156,1.2372642570828138
157,1.2294199292089059
158,1.2095088099417466
159,1.084856967011087
160,1.3133397264241913
161,1.2041063873700026
162,1.0699183045039251
163,1.302923722989957
164,1.0260456877704156
165,1.075192066848137
166,1.171369480039354
167,1.1990954284250552
168,1.4710001387650957
169,1.5156503419485237
170,1.0528122594821254
171,1.1310634506995867
172,1.2097090099353849
173,1.2114395069679609
174,1.2647416495849289
175,1.2080896356810067
176,1.1711626482647128
177,1.089811021427849
178,1.109525697008741
179,1.2970194107570678
180,1.2334933385583824
181,1.1338474268596916
182,1.2831059402568605
183,1.1484016363464837
184,1.1331312239555775
185,1.1354742904304644
186,1.1038674229966656
187,1.2175131036073215
188,1.0614542316265179
189,1.132886123274509
190,1.092992689762225
