bin,n,mean_pred,mean_obs
1,473,0.08142588997674935,0.04862579281183915
2,473,0.16362493323985247,0.07188160676532804
3,473,0.23808016647695257,0.23467230443974682
4,472,0.30125770390043477,0.252118644067797
5,472,0.3745425497852417,0.39618644067796677
6,472,0.453556722454445,0.46610169491525566
7,472,0.5383146674540742,0.5254237288135577
8,472,0.6265498702036653,0.6631355932203417
9,472,0.710665840565793,0.7838983050847445
10,472,0.8010501291906247,0.8516949152542379
